prompt_idx,prompt,model_seed,gamma,amplification,step_to_watermark,match_percent,perplexity,z_score,source_file
1,Write a short story about a cat.,1,0.025,5,50,0.4094488188976378,11.869154930114746,27.75032535373302,prompts.txt
2,Write a short story about a prince who saves a princess from a dragon.,1,0.025,5,50,0.23622047244094488,11.342935562133789,15.246338507196892,prompts.txt
3,Explain the concept of photosynthesis in simple terms.,1,0.025,5,50,0.14545454545454545,9.778101921081543,8.091838819320085,prompts.txt
4,What are the benefits of renewable energy?,1,0.025,5,50,0.40625,2.726489305496216,27.627559633128136,prompts.txt
5,Describe the process of making bread from scratch.,1,0.025,5,50,0.2421875,9.193511962890625,15.738650774609882,prompts.txt
6,Write a poem about the ocean.,1,0.025,5,50,0.3543307086614173,10.619150161743164,23.771784084380617,prompts.txt
7,Explain how a computer processor works.,1,0.025,5,50,0.373015873015873,3.559936761856079,25.021423462138042,prompts.txt
8,What are the main causes of climate change?,1,0.025,5,50,0.18947368421052632,7.080475330352783,10.268001210211338,prompts.txt
9,Describe your ideal vacation destination.,1,0.025,5,50,0.38095238095238093,9.088132858276367,25.592037452152592,prompts.txt
10,Write a creative story about a robot learning to feel emotions.,1,0.025,5,50,0.3671875,4.877750396728516,24.796867047766646,prompts.txt
11,Explain the theory of relativity in layman's terms.,1,0.025,5,50,0.6484375,3.019869089126587,45.177853662369365,prompts.txt
12,What are the key principles of good leadership?,1,0.025,5,50,0.20930232558139536,17.359167098999023,7.7409227045122435,prompts.txt
13,Describe the life cycle of a butterfly.,1,0.025,5,50,0.16326530612244897,13.646651268005371,8.767059321519586,prompts.txt
14,Write a dialogue between two characters meeting for the first time.,1,0.025,5,50,0.390625,2.0246949195861816,26.49528259898354,prompts.txt
15,Explain the importance of biodiversity.,1,0.025,5,50,0.171875,11.872729301452637,10.6434041209592,prompts.txt
16,What are the pros and cons of social media?,1,0.025,5,50,0.38016528925619836,6.13474702835083,25.023663308267707,prompts.txt
17,Describe the process of evolution by natural selection.,1,0.025,5,50,0.421875,4.356561660766602,28.75983666727273,prompts.txt
18,Write a story about time travel.,1,0.025,5,50,0.4921875,5.377265930175781,33.85508332092341,prompts.txt
19,Explain how vaccines work to protect us from diseases.,1,0.025,5,50,0.5859375,2.4487826824188232,40.648745525790986,prompts.txt
20,What are the characteristics of a healthy diet?,1,0.025,5,50,0.29411764705882354,3.798192024230957,18.803701378195782,prompts.txt
21,Describe the water cycle.,1,0.025,5,50,0.16535433070866143,9.695113182067871,10.131071160886657,prompts.txt
22,Write a creative story about a magical library.,1,0.025,5,50,0.5275590551181102,2.584872007369995,36.27577093091674,prompts.txt
