model_seed,gamma,amplification,step_to_watermark,match_percent,perplexity,z_score,prompt
1,0.1,1,100,0.1968503937007874,9.52099609375,3.638161688606066,Write a short story about a cat.
1,0.1,3,100,0.30708661417322836,12.882316589355469,7.77915873254793,Write a short story about a cat.
1,0.1,5,100,0.6062992125984252,21.735395431518555,19.019007851818703,Write a short story about a cat.
1,0.1,7,100,0.7952755905511811,7.314189434051514,26.117859927147613,Write a short story about a cat.
1,0.1,9,100,0.8267716535433071,32.55601501464844,27.30100193970243,Write a short story about a cat.
1,0.1,1,100,0.15748031496062992,9.092838287353516,2.159234172912543,Write a short story about a prince who saves a princess from a dragon.
1,0.1,3,100,0.2992125984251969,11.615200996398926,7.483373229409225,Write a short story about a prince who saves a princess from a dragon.
1,0.1,5,100,0.5909090909090909,17.609699249267578,17.16232660642066,Write a short story about a prince who saves a princess from a dragon.
1,0.1,7,100,0.768,9.249046325683594,24.89489014949766,Write a short story about a prince who saves a princess from a dragon.
1,0.1,9,100,0.96875,4.041203498840332,32.7626141949767,Write a short story about a prince who saves a princess from a dragon.
1,0.1,1,100,0.16535433070866143,9.963300704956055,2.4550196760512475,Explain the concept of photosynthesis in simple terms.
1,0.1,3,100,0.27927927927927926,11.50130844116211,6.296081371824909,Explain the concept of photosynthesis in simple terms.
1,0.1,5,100,0.4864864864864865,5.977921485900879,13.572959339260734,Explain the concept of photosynthesis in simple terms.
1,0.1,7,100,0.8095238095238095,6.50698184967041,26.547950029967488,Explain the concept of photosynthesis in simple terms.
1,0.1,9,100,0.8333333333333334,11.849251747131348,27.438820836342238,Explain the concept of photosynthesis in simple terms.
1,0.1,1,100,0.15384615384615385,7.5430803298950195,1.1208970766356097,What are the benefits of renewable energy?
1,0.1,3,100,0.28346456692913385,7.122409343719482,6.8918022231318155,What are the benefits of renewable energy?
1,0.1,5,100,0.4423076923076923,8.179423332214355,8.228052910674231,What are the benefits of renewable energy?
1,0.1,7,100,0.7952755905511811,5.078983783721924,26.117859927147613,What are the benefits of renewable energy?
1,0.1,9,100,0.6666666666666666,8.48508358001709,6.543303050815758,What are the benefits of renewable energy?
1,0.1,1,100,0.2125984251968504,6.44575834274292,4.2297326948834755,Describe the process of making bread from scratch.
1,0.1,3,100,0.33070866141732286,6.088626384735107,8.666515241964044,Describe the process of making bread from scratch.
1,0.1,5,100,0.5915492957746479,14.660402297973633,13.806226623655158,Describe the process of making bread from scratch.
1,0.1,7,100,0.9133858267716536,7.088922500610352,30.55464247422818,Describe the process of making bread from scratch.
1,0.1,9,100,0.8571428571428571,10.664907455444336,28.329691642716984,Describe the process of making bread from scratch.
1,0.1,1,100,0.2677165354330709,52.46553039550781,6.300231216854407,Write a poem about the ocean.
1,0.1,3,100,0.4015748031496063,56.33909606933594,11.328584770212384,Write a poem about the ocean.
1,0.1,5,100,0.6984126984126984,93.97850036621094,15.832511813830962,Write a poem about the ocean.
1,0.1,7,100,0.8046875,8.703721046447754,26.575429859594408,Write a poem about the ocean.
1,0.1,9,100,0.84375,15.1355562210083,28.048568987066382,Write a poem about the ocean.
1,0.1,1,100,0.15748031496062992,8.646110534667969,2.159234172912543,Explain how a computer processor works.
1,0.1,3,100,0.3700787401574803,8.954218864440918,10.145442757657566,Explain how a computer processor works.
1,0.1,5,100,0.7007874015748031,21.339834213256836,22.56843388948316,Explain how a computer processor works.
1,0.1,7,100,0.7265625,4.934856414794922,23.62915160465046,Explain how a computer processor works.
1,0.1,9,100,0.9609375,5.026968955993652,32.467986369482304,Explain how a computer processor works.
1,0.1,1,100,0.19607843137254902,4.786162853240967,2.287124137245749,What are the main causes of climate change?
1,0.1,3,100,0.27,6.343796730041504,5.666666666666667,What are the main causes of climate change?
