model_seed,gamma,amplification,step_to_watermark,match_percent,perplexity,z_score,source_file
1,0.025,5,50,0.2627118644067797,9.096062660217285,16.539392351235563,humaneval_prompts_full.csv
1,0.025,5,50,0.03937007874015748,51.72858428955078,1.0372625452240196,humaneval_prompts_full.csv
1,0.025,5,50,0.030612244897959183,30.598833084106445,0.3558584964454443,humaneval_prompts_full.csv
1,0.025,5,50,0,0.0,0,humaneval_prompts_full.csv
1,0.025,5,50,0.5511811023622047,2.193498134613037,37.98086004635349,humaneval_prompts_full.csv
1,0.025,5,50,0.05511811023622047,13.943402290344238,2.173988622181849,humaneval_prompts_full.csv
1,0.025,5,50,0.392,1.9635424613952637,26.281415877247188,humaneval_prompts_full.csv
1,0.025,5,50,0.05,30.921192169189453,1.6012815380508714,humaneval_prompts_full.csv
1,0.025,5,50,0,0.0,0,humaneval_prompts_full.csv
1,0.025,5,50,0.11811023622047244,18.01572036743164,6.720892930013168,humaneval_prompts_full.csv
