model_seed,gamma,amplification,step_to_watermark,match_percent,perplexity,z_score,source_file
1,0.025,3,100,0.07575757575757576,17.008745193481445,2.641195368751235,humaneval_infil_prompts.csv
1,0.025,3,100,0.07575757575757576,17.008745193481445,2.641195368751235,humaneval_infil_prompts.csv
1,0.025,3,100,0.07575757575757576,17.008745193481445,2.641195368751235,humaneval_infil_prompts.csv
1,0.025,3,100,0.07575757575757576,17.008745193481445,2.641195368751235,humaneval_infil_prompts.csv
1,0.025,3,100,0.07575757575757576,17.008745193481445,2.641195368751235,humaneval_infil_prompts.csv
1,0.025,3,100,0.07575757575757576,17.008745193481445,2.641195368751235,humaneval_infil_prompts.csv
1,0.025,3,100,0.07575757575757576,17.008745193481445,2.641195368751235,humaneval_infil_prompts.csv
1,0.025,3,100,0,0.0,0,humaneval_infil_prompts.csv
1,0.025,3,100,0,0.0,0,humaneval_infil_prompts.csv
1,0.025,3,100,0,0.0,0,humaneval_infil_prompts.csv
